"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"4098","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario","Quincenal","Quincenal","Quincenal","Quincenal"
"4099","Semanal","Semanal","Semanal","Quincenal","Semanal","Quincenal","Diario","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"4100","Semanal","Semanal","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","No consume","Mensual","Mensual","No consume"
"4101","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Semanal","Diario","Semanal","Mensual","Mensual","Quincenal","Quincenal"
"4102","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Diario","Quincenal","Mensual","Mensual","Mensual"
"4103","Diario","Diario","Diario","Mensual","Diario","Semanal","Diario","Diario","Diario","Mensual","Mensual","Quincenal","Mensual"
"4104","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","No consume"
"4105","Diario","Mensual","Diario","No consume","No consume","Semanal","Semanal","Quincenal","Semanal","No consume","No consume","No consume","No consume"
"4106","Diario","Semanal","No consume","No consume","No consume","Semanal","No consume","Semanal","Diario","Quincenal","Quincenal","Quincenal","Semanal"
"4107","No consume","Diario","Diario","Quincenal","Diario","Quincenal","Diario","Diario","Diario","Mensual","Mensual","Mensual","No consume"
"4108","Diario","Diario","Diario","Quincenal","Diario","Semanal","Diario","Diario","Diario","No consume","No consume","Mensual","No consume"
"4109","Diario","Diario","Diario","Mensual","No consume","Quincenal","Diario","Diario","Diario","Mensual","Mensual","Semanal","No consume"
"4110","Semanal","Semanal","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Quincenal","Semanal","Diario","Mensual"
"4111","Mensual","Quincenal","Diario","Quincenal","Semanal","Semanal","Quincenal","Quincenal","Diario","No consume","No consume","No consume","No consume"
"4112","Diario","Diario","Diario","Mensual","Diario","Semanal","Diario","Diario","Semanal","Quincenal","No consume","No consume","No consume"
"4113","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Mensual","No consume"
"4114","Semanal","Diario","Diario","Mensual","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Quincenal","Semanal","No consume"
"4115","Semanal","Diario","Diario","Semanal","No consume","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Quincenal","Semanal"
"4116","Diario","Semanal","Diario","No consume","Semanal","Quincenal","Semanal","Diario","Semanal","No consume","No consume","Diario","No consume"
"4117","Diario","Semanal","Diario","Quincenal","Semanal","Semanal","Diario","Semanal","Diario","Mensual","Mensual","Mensual","Quincenal"
"4118","Semanal","Diario","Diario","Mensual","Diario","Diario","Diario","Diario","Diario","No consume","No consume","No consume","Mensual"
"4119","Diario","Semanal","Semanal","Diario","No consume","Quincenal","Diario","Semanal","Diario","Mensual","Quincenal","Quincenal","Semanal"
"4120","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Diario","Quincenal","Semanal","Semanal","Semanal"
"4121","Diario","Diario","Mensual","No consume","Quincenal","Quincenal","Quincenal","Diario","Diario","No consume","Mensual","Diario","No consume"
"4122","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Semanal","Diario","Quincenal","Quincenal","Semanal","Quincenal"
"4123","Diario","Diario","Diario","Semanal","Semanal","Quincenal","Diario","Semanal","Semanal","Mensual","Semanal","Semanal","Quincenal"
"4124","Diario","Diario","Diario","Mensual","Diario","Diario","Diario","Diario","Diario","No consume","Mensual","Mensual","Mensual"
"4125","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Diario","Diario","Semanal"
"4126","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Quincenal"
"4127","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal","Diario","Diario","Mensual","No consume","No consume","No consume"
"4128","Diario","No consume","Diario","Quincenal","Diario","Diario","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Quincenal"
"4129","Diario","Semanal","Diario","Mensual","Diario","Quincenal","Diario","Semanal","Diario","Mensual","Mensual","Semanal","Mensual"
"4130","Quincenal","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","No consume","No consume","Diario","No consume"
"4131","Semanal","Semanal","Semanal","Semanal","Mensual","Semanal","Diario","Semanal","Semanal","No consume","No consume","Quincenal","Mensual"
"4132","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"4133","Semanal","Diario","Diario","Mensual","Diario","Semanal","Diario","Diario","Diario","Semanal","Quincenal","Quincenal","Quincenal"
"4134","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Semanal"
"4135","Diario","Diario","Diario","Mensual","Semanal","Semanal","Semanal","Diario","Diario","Semanal","No consume","Semanal","Quincenal"
"4136","Mensual","Semanal","Semanal","Semanal","Quincenal","Diario","Quincenal","Diario","Diario","Mensual","Quincenal","No consume","No consume"
"4137","Semanal","Quincenal","Diario","Diario","Diario","Semanal","Diario","Mensual","Diario","No consume","Mensual","Diario","Semanal"
"4138","Semanal","Semanal","Diario","Semanal","No consume","Semanal","Semanal","Quincenal","Semanal","Mensual","Mensual","Mensual","Mensual"
"4139","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Mensual","Quincenal","No consume","No consume"
"4140","Diario","Diario","Diario","Mensual","No consume","Semanal","Semanal","Quincenal","Diario","No consume","No consume","Semanal","No consume"
"4141","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Diario","Diario","Quincenal"
"4142","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Semanal","Quincenal","Semanal"
"4143","Semanal","Semanal","Diario","Semanal","No consume","Semanal","Semanal","Quincenal","Semanal","Mensual","Mensual","Mensual","Mensual"
"4144","Semanal","Quincenal","Semanal","Quincenal","No consume","Quincenal","Mensual","Quincenal","Semanal","Mensual","Quincenal","Mensual","No consume"
"4145","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"4146","Semanal","Quincenal","Diario","Diario","Diario","Quincenal","Quincenal","Mensual","Diario","Mensual","Quincenal","Mensual","No consume"
"4147","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Mensual"
"4148","Diario","Diario","Diario","No consume","Diario","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"4149","Diario","Diario","Diario","No consume","Diario","Semanal","Semanal","Diario","Diario","Mensual","Quincenal","No consume","Quincenal"
"4150","No consume","Diario","Diario","Quincenal","Diario","Quincenal","Quincenal","Semanal","Semanal","Quincenal","Semanal","No consume","Semanal"
"4151","No consume","Quincenal","Mensual","No consume","Quincenal","Semanal","Semanal","Diario","Diario","Mensual","No consume","No consume","No consume"
"4152","Diario","Diario","Diario","Semanal","Diario","Semanal","Quincenal","Diario","Diario","Semanal","Diario","Diario","Diario"
"4153","Quincenal","Mensual","Semanal","Quincenal","No consume","Mensual","Quincenal","No consume","Semanal","No consume","No consume","No consume","No consume"
"4154","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","Diario","Quincenal","Semanal","Mensual","Semanal"
"4155","Quincenal","Semanal","Diario","Diario","Mensual","Diario","Diario","Semanal","Semanal","Quincenal","Quincenal","Quincenal","Semanal"
