"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"93","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Mensual","Mensual","No consume","Diario"
"94","Quincenal","Mensual","Diario","No consume","Diario","Semanal","Diario","Mensual","Diario","Mensual","Quincenal","No consume","Mensual"
"95","Semanal","Semanal","Diario","Quincenal","Semanal","Semanal","Diario","Semanal","Semanal","No consume","Quincenal","Mensual","No consume"
"96","Semanal","Diario","Diario","Semanal","Semanal","Quincenal","Quincenal","Quincenal","Semanal","Mensual","No consume","No consume","No consume"
"97","Diario","Semanal","Diario","Diario","No consume","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario"
"98","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","No consume","No consume","No consume","No consume"
"99","Diario","Diario","Diario","No consume","Diario","Diario","Diario","Diario","No consume","Semanal","Diario","Semanal","Semanal"
"100","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Semanal"
"101","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","Quincenal","Semanal","Semanal","Quincenal","Diario"
"102","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Diario","No consume","Semanal","Mensual","No consume","Mensual","No consume"
"103","Mensual","Mensual","Semanal","No consume","Diario","Diario","Semanal","Quincenal","Diario","Mensual","Mensual","No consume","No consume"
"104","Diario","Quincenal","Diario","Semanal","Diario","Semanal","Semanal","Quincenal","Mensual","Mensual","Mensual","Mensual","Semanal"
"105","Semanal","Semanal","Diario","Semanal","Semanal","Quincenal","Semanal","Quincenal","Mensual","Quincenal","Mensual","Mensual","Semanal"
"106","Semanal","Semanal","Diario","Quincenal","Semanal","Diario","Diario","Diario","Diario","Mensual","No consume","No consume","No consume"
"107","No consume","Diario","Diario","No consume","Diario","Semanal","Semanal","Diario","Diario","Mensual","Semanal","Semanal","No consume"
"108","Diario","Semanal","Diario","Quincenal","Semanal","Diario","Diario","Diario","Diario","Mensual","Mensual","Quincenal","Quincenal"
"109","Semanal","Semanal","Semanal","Mensual","Diario","Semanal","Quincenal","Quincenal","Diario","Mensual","Mensual","Mensual","Quincenal"
"110","Semanal","Diario","Diario","Semanal","Mensual","Mensual","Diario","Semanal","Semanal","Mensual","Mensual","Mensual","Mensual"
"111","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Semanal","Quincenal","Quincenal","Semanal","Semanal"
